EC,SA,taxa difference,comment
2.3.1.11,7.1,19, 7.1 <1>
2.3.1.11,7.1,19, 7.1 <1>
2.3.1.110,0.132,19, 0.132 <5>
2.3.1.110,7.76,19, 7.76 <9>
2.3.1.111,0.014,19, 0.014 <1>
2.3.1.112,0.0002,19, 0.0002 <1>
2.3.1.113,0.00091,19, 0.00091 <1>
2.3.1.114,0.143,19, 0.143 <2>
2.3.1.115,7.515,19, 7.515 <3>
2.3.1.115,0.0058,19, 0.0058 <4>
2.3.1.117,36,19, 36.0 <2>
2.3.1.118,1.31,19," 2-hydroxyamino-6-methyldipyrido[1,2-a: 3,2-d]imidazole as"
2.3.1.118,0.001,19, N-acetylation of p-aminobenzoic acid <3>) <3>
2.3.1.118,8.72,19, N-acetylation of isoniazide <3>) <3>
2.3.1.118,0.66,19, 0.66 <8>
2.3.1.118,0.517,19, N-acetylation of 2-aminofluorene <3>) <3>
2.3.1.118,0.126,19," 2-hydroxyamino-6-methyldipyrido[1,2-a: 3,2-d]imidazole"
2.3.1.118,7.8,19, O-acetyltransferase assay <9>) <9>
2.3.1.118,74,19, N-acetyltransferase assay <9>) <9>
2.3.1.118,3.9,19," N,O-acetyltransferase assay <9>) <9>"
2.3.1.118,0.034,19, 0.034 <5>
2.3.1.118,0.0042,19, lung <11>) <11>
2.3.1.118,0.0024,19, intestine <11>) <11>
2.3.1.118,0.82,19," 2-hydroxyamino-6-methyldipyrido[1,2-a: 3,2-d]imidazole as"
2.3.1.118,0.0058,19, liver <11>) <11>
2.3.1.118,0.00196,19, kidney <11>) <11>
2.3.1.12,4.09,19, after removal of glutathione S-transferase moiety <68>)
2.3.1.12,3.89,19, fusion protein with glutathione S-transferase <68>) <68>
2.3.1.12,509,19, 509.0 <24>
2.3.1.12,34.1,19, purified 1-lip E2 <80>) <80>
2.3.1.12,47.1,19, catalytic domain <70>) <70>
2.3.1.12,19.4,19, 19.4 <74>
2.3.1.122,0.00779,19, 0.00779 <1>
2.3.1.127,0.0045,19, 0.0045 <1>
2.3.1.129,0.000019,19, S)-3-myristoyl-[acyl-carrier-protein] as substrate
2.3.1.129,0.0000011,19, S)-3-hydroxymyristoyl-[acyl-carrier-protein] as
2.3.1.129,0.000055,19, S)-3-hydroxymyristoyl-[acyl-carrier-protein] as
2.3.1.129,0.000247,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00325,19, S)-3-hydroxylauroyl-[acyl-carrier-protein] as
2.3.1.129,0.0015,19, SM 105 <8>) <8>
2.3.1.129,12.3,19, 12.3 <4>
2.3.1.129,0.074,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,2.92,19," 2.92 <2,3>"
2.3.1.129,0.00003,19, SM 101 <8>) <8>
2.3.1.129,0.0002,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000007,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00007,19,
2.3.1.129,0.00006,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00053,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000067,19, S)-3-hydroxymyristoyl-[acyl-carrier-protein] as
2.3.1.129,0.000068,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000022,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000006,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000023,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000054,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000079,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000087,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000347,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00139,19, S)-3-hydroxylauroyl-[acyl-carrier-protein] as
2.3.1.129,0.00035,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein]
2.3.1.129,0.0012,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.0012,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.001,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein]
2.3.1.129,0.001,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein]
2.3.1.129,3,19, using synthetic
2.3.1.129,0.011,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as substrate
2.3.1.129,0.000001,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000003,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00001,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000038,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000024,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.000014,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00004,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.0000015,19, decanoyl-[acyl-carrier-protein] as substrate <12>) <12>
2.3.1.129,0.00000002,19, S)-3-hydroxytetradecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00000014,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00000028,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.00000034,19, S)-3-hydroxydodecanoyl-[acyl-carrier-protein] as
2.3.1.129,0.0000032,19, S)-3-hydroxylauroyl-[acyl-carrier-protein] as
2.3.1.129,0.000011,19, S)-3-hydroxydecanoyl-[acyl-carrier-protein] as
2.3.1.13,0.7,19, 0.7 <10>
2.3.1.13,0.19,19, activity in liver 4 h after birth <9>) <9>
2.3.1.13,6.5,19, activity in liver of adults aged 24 to 40 years <9>) <9>
2.3.1.13,6.38,19, mean activity in liver of children aged 18 months to 11
2.3.1.13,13.9,19, 13.9 <8>
2.3.1.13,2.51,19, activity in liver of a 7 months old child <9>) <9>
2.3.1.13,0.105,19, activity in 176000 g supernantant of Triton X-100
2.3.1.13,32,19, 32.0 <7>
2.3.1.130,0.0033,19, 0.0033 <1>
2.3.1.131,0.01,19, feruloyl-CoA as donor <1>) <1>
2.3.1.132,0.022,19, 0.022 <1>
2.3.1.133,1.134,19, 1.134 <3>
2.3.1.133,0.732,19, 0.732 <4>
2.3.1.133,0.0056,19, 0.0056 <1>
2.3.1.135,0.166,19, 11-cis-retinyl ester synthesis in presence of cellular
2.3.1.135,0.1,19, retinal pigment epithelial LRAT <2>) <2>
2.3.1.137,0.072,19, 0.072 <5>
2.3.1.140,0.044,19," pH 7.0, 30°C <5>) <5>"
2.3.1.144,0.00000948,19, 9.48e-06 <2>
2.3.1.149,0.0000033,19, transacetylase activity in aorta <4>) <4>
2.3.1.149,0.0000008,19, transacetylase activity of mammary artery <4>) <4>
2.3.1.158,0.00138,19," sn-1,2-distearoylphosphatidylethanolamine as substrate"
2.3.1.158,0.001399,19," sn-1,2-dipalmitoylphosphatidylethanolamine as"
2.3.1.158,0.002468,19," sn-1,2-dioleoylphosphatidylethanolamine as substrate"
2.3.1.158,0.002597,19," sn-1,2-dilinoleoylphosphatidylethanolamine as"
2.3.1.158,0.002453,19," sn-1,2-dilinolenoylphosphatidylethanolamine as"
2.3.1.159,0.18,19, crude extract <3>) <3>
2.3.1.159,6.035,19, purified enzyme <1>) <1>
2.3.1.159,9.54,19," purified recombinant isozyme I <3,6>) <3,6>"
2.3.1.159,14.16,19," purified recombinant isozyme II <3,6>) <3,6>"
2.3.1.16,352,19, substrate: acetoacetyl-CoA <30>) <30>
2.3.1.16,14.16,19, 14.16 <41>
2.3.1.16,1988,19, substrate: 3-oxohexadecanoyl-CoA <30>) <30>
2.3.1.16,25,19, 25.0 <42>
2.3.1.16,75,19, 75.0 <11>
2.3.1.16,123,19," thiolase B, substrate: 3-oxooctanoyl-CoA <33>) <33>"
2.3.1.16,26.3,19, 26.3 <13>
2.3.1.16,119,19," thiolase A, substrate: 3-oxooctanoyl-CoA <33>) <33>"
2.3.1.16,0.543,19," purified enzyme, acetyl-CoA hydrolase activity <43>) <43>"
2.3.1.16,597,19," 597.0 <16,21>"
2.3.1.160,2.4,19, nkat/mg <1>) <1>
2.3.1.160,99.1,19, purified enzyme <3>) <3>
2.3.1.161,0.0109,19, 0.0109 <1>
2.3.1.165,0.245,19, 0.245 <3>
2.3.1.167,16.1,19, recombinant glutathione S-transferase-fusion protein <4>)
2.3.1.167,24.4,19, recombinant enzyme with a hexahistidine fusion tag <4>)
2.3.1.167,6.1,19, recombinant enzyme with biotinylated peptide tag <4>) <4>
2.3.1.168,3.1,19," purified enzyme, as part of the multienzyme complex,"
2.3.1.168,2.38,19, partially purified E2 enzyme <1>) <1>
2.3.1.168,0.173,19, purified recombinant apo-enzyme <9>) <9>
2.3.1.168,0.185,19, purified native enzyme <9>) <9>
2.3.1.169,0.8,19," pH 6.8, acetyl-CoA synthesis, in absence of ATP and Fe2+"
2.3.1.169,28,19," 40°C, CoA/acetyl-CoA exchange <4>) <4>"
2.3.1.169,0.49,19," pH 6.8, acetyl-CoA synthesis, in presence of ferredoxin"
2.3.1.169,0.12,19," pH 6.8, acetyl-CoA synthesis, in absence of ferredoxin II"
2.3.1.169,0.41,19," pH 6.8, acetyl-CoA synthesis, in presence of 1 mM ferrous"
2.3.1.169,0.74,19," pH 6.8, acetyl-CoA synthesis, in presence of 4 mM ATP"
2.3.1.17,0.0015,19, activity of cloned mouse NAT8L fusion protein with
2.3.1.17,0.0018,19, activity of cloned mouse NAT8L fusion protein with
2.3.1.17,0.0025,19, activity of cloned wild type mouse NAT8L protein <7>)
2.3.1.17,70,19," recombinant enzyme, pH 7.4, temperature not specified in"
2.3.1.172,5.17,19," pH 7, 30°C <2>) <2>"
2.3.1.174,11.1,19, 11.1 <2>
2.3.1.175,30,19, deacetylcephalosporin-C acetyltransferase activity in the
2.3.1.175,7.2,19, deacetylcephalosporin-C acetyltransferase activity in the
2.3.1.175,1.3,19, 1.3 <6>
2.3.1.175,6.7,19, deacetylcephalosporin-C acetyltransferase activity in the
2.3.1.175,25.8,19, deacetylcephalosporin-C acetyltransferase activity in the
2.3.1.178,0.114,19, 0.114 <1>
2.3.1.179,7.5,19, 7.5 <2>
2.3.1.18,35.3,19, isopropyl 6-O-acetyl-beta-D-thiogalactoside produced <1>)
2.3.1.181,0.54,19, 0.54 <6>
2.3.1.182,0.017,19," pyruvate consumption measured, Rhodospirillum rubrum"
2.3.1.182,0.058,19," CoA formation measured, Rhodospirillum rubrum cells"
2.3.1.182,0.016,19," pyruvate consumption measured, Rhodospirillum rubrum"
2.3.1.182,0.032,19," CoA formation measured, Rhodospirillum rubrum cells"
2.3.1.182,2.87,19, purified recombinant enzyme <2>) <2>
2.3.1.182,0.0074,19," strain DL1, wild type <5>) <5>"
2.3.1.182,0.0004,19," strain DLCR7,"
2.3.1.182,0.0051,19," strain DLCR5, tdcB::Knr <5>) <5>"
2.3.1.182,0.027,19," production of CoA measured at 60°C, pH 7.5 <6>) <6>"
2.3.1.183,0.02,19," induced activity, cell extract <1>) <1>"
2.3.1.183,0.0212,19," strain DX-35, cell extract <1>) <1>"
2.3.1.183,0.0357,19," at 30°C, enzyme activity in crude extract of the"
2.3.1.183,0.0177,19," at 30°C, enzyme activity in crude extract of the"
2.3.1.185,0.00002,19, 2e-05 <3>
2.3.1.186,12.6,19, 12.6 <3>
2.3.1.186,0.00012,19, 0.00012 <2>
2.3.1.186,0.025,19, activity with pseudotropine and tigloyl-CoA <1>) <1>
2.3.1.186,0.0035,19, activity with pseudotropine and acetyl-CoA <1>) <1>
2.3.1.187,18.3,19, 18.3 <3>
2.3.1.188,0.001,19," substrate 16-hydroxypalmitate, pH 7.0 <2>) <2>"
2.3.1.188,0.00083,19," substrate 1-tetradecanol, pH 7.0 <2>) <2>"
2.3.1.188,0.0208,19," substrate 1-tetradecanol, pH 7.0 <2>) <2>"
2.3.1.188,0.0288,19," substrate 16-hydroxypalmitate, pH 7.0 <2>) <2>"
2.3.1.19,1380,19, 1380.0 <5>
2.3.1.190,2.15,19, 2.15 <5>
2.3.1.190,2.15,19, 2.15 <5>
2.3.1.191,8.9,19, 8.9 <3>
2.3.1.191,7.14,19, specific activity in the absence of Ca2+ <3>) <3>
2.3.1.192,49,19," pH 8.0, 30°C <2>) <2>"
2.3.1.192,0.051,19," pH not specified in the publication, temperature not"
2.3.1.194,8.9,19," recombinant His8-tagged wild-type enzyme, pH 8.0, 25°C"
2.3.1.2,5.02,19, 5.02 <1>
2.3.1.206,0.0024,19," highest tissue activity, in bracts, pH 7.0, 30°C <1>)"
2.3.1.214,0.144,19," purified native enzyme, pH 8.5, temperature not"
2.3.1.215,0.5,19," substrate malvidin 3-rhamnosylglucoside-5-glucoside, pH"
2.3.1.215,1.54,19," substrate petunidin 3-rhamnosylglucoside-5-glucoside, pH"
2.3.1.215,1.74,19," substrate delphinidin 3-rhamnosylglucoside-5-glucoside,"
2.3.1.22,1.219,19, 1.219 <7>
2.3.1.22,0.0159,19, 0.0159 <15>
2.3.1.222,8.9,19," wild-type strain, pH and temperature not specified in the"
2.3.1.222,50,19, recombinant His8-tagged PduL in soluble fraction of the
2.3.1.226,4,19," pH 7.5, 37°C <5>) <5>"
2.3.1.228,33,19," pH 7.5, 37°C <1>) <1>"
2.3.1.23,0.0008,19, activity in stored erythrocyte membranes with
2.3.1.23,0.0007,19, activity in freshly prepared erythrocyte membranes with
2.3.1.23,0.0001,19, activity in freshly prepared erythrocyte membranes with
2.3.1.23,0.0006,19, activity in stored erythrocyte membranes with
2.3.1.23,0.01,19," partially purified enzyme,"
2.3.1.23,2.3,19, acyl donor arachidonoyl-CoA <27>) <27>
2.3.1.23,0.058,19," acyl donor oleoyl-CoA, liver enzyme <12>) <12>"
2.3.1.23,0.013,19," acyl donor oleoyl-CoA, heart enzyme <12>) <12>"
2.3.1.23,0.68,19, acyl donor arachidonoyl-CoA <2>) <2>
2.3.1.23,0.0028,19," crude extract, TLC assay <21>) <21>"
2.3.1.23,0.0029,19," crude extract, silic acid microcolumn assay <21>) <21>"
2.3.1.23,0.393,19, 0.393 <31>
2.3.1.23,9,19, 9.0 <7>
2.3.1.23,0.042,19," integral membrane enzyme,"
2.3.1.23,0.028,19, 0.028 <10>
2.3.1.23,0.61,19, acyl donor arachidonoyl-CoA <15>) <15>
2.3.1.23,0.134,19, acyl donor linoleoyl-CoA <15>) <15>
2.3.1.23,0.079,19, acyl donor oleoyl-CoA <15>) <15>
2.3.1.23,13.33,19, acyl donor oleoyl-CoA <16>) <16>
2.3.1.23,4.125,19, 1-acylglycerophosphoinositol O-acyltransferase <17>) <17>
2.3.1.230,0.22,19," pH 7.5, 37°C <5>) <5>"
2.3.1.24,0.0148,19, 0.0148 <11>
2.3.1.241,2.2,19," pH 7.5, 30°C <2>) <2>"
2.3.1.241,80,19," pH 7.5, 30°C <1>) <1>"
2.3.1.247,12.5,19," purified enzyme, pH 7.0, 25°C <2>) <2>"
2.3.1.247,0.105,19," crude enzyme extract, pH 7.0, 25°C <2>) <2>"
2.3.1.247,0.18,19," curde enzyme extract, pH 7.0, 25°C <1>) <1>"
2.3.1.247,15.7,19," purified enzyme, pH 7.0, 25°C <1>) <1>"
2.3.1.251,7.2,19, substrate
2.3.1.251,9.7,19, substrate
2.3.1.251,18.2,19, substrate
2.3.1.251,23.3,19, substrate
2.3.1.251,29.6,19, substrate
2.3.1.26,0.0000178,19, microsomal preparation <14>) <14>
2.3.1.26,0.000099,19, microsomes + 5 mM ATP + 50 mM NaF + 5 mM MgCl2 <16>)
2.3.1.26,0.000117,19, control microsomes <16>) <16>
2.3.1.26,0.000169,19, microsomes + 5 mM MgCl2 <16>) <16>
2.3.1.26,0.000132,19, microsomes + 50 mM NaF <16>) <16>
2.3.1.26,0.000126,19, microsomes + 5 mM MgCl2 + 50 mM NaF <16>) <16>
2.3.1.26,0.000093,19, microsomes + 5 mM ATP <16>) <16>
2.3.1.26,0.000089,19, microsomes + 5 mM ATP + 50 mM NaF + 5 mM MgCl2 +
2.3.1.26,0.0001042,19, aortic microsomal preparation <15>) <15>
2.3.1.26,0.00087,19, small intestine microsomes <35>) <35>
2.3.1.26,0.0037,19, adrenal microsomes <35>) <35>
2.3.1.26,0.0012,19," recombinant enzyme ACAT1, vector: pcDNA3+, cell type:"
2.3.1.26,0.0038,19," recombinant enzyme ACAT2, vector: pcDNA3+, cell type:"
2.3.1.26,0.0019,19," recombinant enzyme ACAT2, vector: pCMV5, cell type:"
2.3.1.26,0.0022,19," recombinant enzyme ACAT2, vector: pcDNA3+, cell type:"
2.3.1.26,0.00135,19, liver microsomes <35>) <35>
2.3.1.26,0.000368,19," day 30 of development, endogenous cholesterol as"
2.3.1.26,0.001585,19," day 50 of development, endogenous cholesterol as"
2.3.1.26,0.000808,19, microsomal preparation from day 40 of development
2.3.1.26,0.000824,19, microsomal preparation from day 40 of development
2.3.1.26,0.000156,19," ACAT activity in liver, control <66>) <66>"
2.3.1.26,0.000081,19," ACAT activity in liver, 100 mg/kg/day esculeoside A"
2.3.1.26,0.0000222,19, microsomes <18>) <18>
2.3.1.26,0.000088,19," ACAT activity in peritoneal macrophage, 100 mg/kg/day"
2.3.1.26,0.000144,19," ACAT activity in intestine, 100 mg/kg/day esculeoside"
2.3.1.26,0.00015,19, ACAT activity in
2.3.1.26,0.00015,19, ACAT activity in
2.3.1.26,0.039,19," ACAT2 activity in HuH-7 cells, control <70>) <70>"
2.3.1.26,0.086,19," ACAT1 activity in HuH-7 cells, control <70>) <70>"
2.3.1.26,0.00021,19," microsomal preparations from jejunum, mean value <11>)"
2.3.1.26,0.0192,19," ACAT2 activity in HuH-7 cells, 30 microM HDL"
2.3.1.26,4650,19," ACAT1 activity in Hep-G2 cells, 1.5 mM LDL cholesterol"
2.3.1.26,0.0127,19," ACAT2 activity in HuH-7 cells, control <70>) <70>"
2.3.1.26,5030,19," ACAT2 activity in Hep-G2 cells, 1.5 mM LDL cholesterol"
2.3.1.26,0.0009,19, recombinant enzyme <27>) <27>
2.3.1.26,0.0102,19," TNFalpha treatment, duration 12 h <80>) <80>"
2.3.1.26,0.000062,19," microsomal preparations from duodenum, mean value"
2.3.1.26,0.000053,19," microsomal preparations from ileum, mean value <11>)"
2.3.1.26,0.00005,19, whole homogenate of biopsies from distal
2.3.1.26,0.0000053,19, 5.3e-06 <29>
2.3.1.26,3.5,19, purified recombinant enzyme <36>) <36>
2.3.1.26,6230,19," ACAT2 activity in Hep-G2 cells, 1 mM HDL cholesterol"
2.3.1.26,0.0000377,19," ACAT2 activity, effect on cholesterol synthesis"
2.3.1.26,0.0558,19," ACAT1 activity in HuH-7 cells, control <70>) <70>"
2.3.1.26,0.0701,19," ACAT1 activity in HuH-7 cells, 0.5 mM LDL cholesterol"
2.3.1.26,0.1861,19," ACAT1 activity in HuH-7 cells, 30 microM HDL"
2.3.1.26,0.1102,19," ACAT1 activity in HuH-7 cells, 0.1 mM free cholesterol"
2.3.1.26,5750,19," ACAT1 activity in Hep-G2 cells, control <70>) <70>"
2.3.1.26,4980,19," ACAT1 activity in Hep-G2 cells, control <70>) <70>"
2.3.1.26,4730,19," ACAT1 activity in Hep-G2 cells, 1 mM HDL cholesterol"
2.3.1.26,5810,19," ACAT1 activity in Hep-G2 cells, 0.9 mM free cholesterol"
2.3.1.26,0.0000333,19," ACAT2 activity, effect on ChSI on hepatic ACAT2"
2.3.1.26,0.0000293,19," ACAT2 activity, effect on ChSI on hepatic ACAT2"
2.3.1.26,0.00562,19, TNFalpha
2.3.1.26,0.00561,19," TNFalpha treatment, duration 1 h <80>) <80>"
2.3.1.26,0.00842,19," TNFalpha treatment, duration 2 h <80>) <80>"
2.3.1.26,0.00868,19," TNFalpha treatment, duration 6 h <80>) <80>"
2.3.1.26,0.01121,19," TNFalpha treatment, duration 24 h <80>) <80>"
2.3.1.26,0.02041,19," TNFalpha treatment, duration 48 h <80>) <80>"
2.3.1.26,0.0347,19," ACAT2 activity in HuH-7 cells, 0.5 mM LDL cholesterol"
2.3.1.26,0.0946,19," ACAT2 activity in HuH-7 cells, 0.1 mM free cholesterol"
2.3.1.26,3220,19," ACAT2 activity in Hep-G2 cells, control <70>) <70>"
2.3.1.26,2210,19," ACAT2 activity in Hep-G2 cells, control <70>) <70>"
2.3.1.26,9560,19," ACAT2 activity in Hep-G2 cells, 0.9 mM free cholesterol"
2.3.1.26,0.0017,19, liver microsomes <33>) <33>
2.3.1.26,0.00006,19, cholesterol added in Tween 80 <13>) <13>
2.3.1.26,0.000063,19, cholesterol added in acetone <13>) <13>
2.3.1.26,0.0000582,19, microsomal fraction without 25-hydroycholesterol
2.3.1.26,0.0000982,19, microsomal fraction with 25-hydroycholesterol <28>)
2.3.1.28,330,19, 330.0 <17>
2.3.1.28,367.7,19, 367.7 <11>
2.3.1.28,71.4,19, 71.4 <7>
2.3.1.29,0.19,19, 0.19 <12>
2.3.1.29,16.4,19, 16.4 <7>
2.3.1.29,18,19, 18.0 <8>
2.3.1.31,0.143,19, 0.143 <3>
2.3.1.31,3.6,19, 3.6 <2>
2.3.1.31,0.0036,19, 0.0036 <8>
2.3.1.33,4.3,19, partially purified enzyme <2>) <2>
2.3.1.35,17.7,19, 17.7 <3>
2.3.1.35,175,19, 175.0 <7>
2.3.1.35,4.7,19, above <15>) <15>
2.3.1.35,0.087,19, 0.087 <5>
2.3.1.35,0.004,19," enzyme activity in argJ-overexpressing strain 1006, pH"
2.3.1.35,12.3,19," wild-type, presence of 1 mM"
2.3.1.35,290,19, 290.0 <7>
2.3.1.36,2.97,19, D-tryptophan <1>) <1>
2.3.1.38,0.8,19," approx., purified enzyme <8>) <8>"
2.3.1.38,0.06,19, 0.06 <4>
2.3.1.38,0.3,19, purified enzyme <9>) <9>
2.3.1.38,0.059,19, 0.059 <6>
2.3.1.38,0.022,19, purified native wild-type enzyme <14>) <14>
2.3.1.38,3.22,19," recombinant purified wild-type enzyme, carboxyterminally"
2.3.1.38,3.81,19," recombinant purified wild-type enzyme, carboxyterminally"
2.3.1.38,2.68,19, recombinant purified wild-type enzyme <12>) <12>
2.3.1.38,0.000005,19, 5e-06 <2>
2.3.1.38,0.00019,19, 0.00019 <2>
2.3.1.38,0.000064,19, 6.4e-05 <2>
2.3.1.39,2.3,19, 2.3 <8>
2.3.1.39,1.5,19, strain JM101 <14>) <14>
2.3.1.39,0.041,19, strain LA2-89 <14>) <14>
2.3.1.39,1851,19, purified enzyme <12>) <12>
2.3.1.39,7.04,19, 7.04 <10>
2.3.1.39,780,19," hexahistidine-tagged fusion protein, at pH 6.5 and"
2.3.1.39,0.1,19, recombinant enzyme with recombinant ACP-A from Bacillus
2.3.1.39,0.14,19, recombinant enzyme with recombinant human mitochondrial
2.3.1.39,0.0683,19, purified enzyme <16>) <16>
2.3.1.39,1,19, isozyme MCT2 <17>) <17>
2.3.1.39,0.32,19, isozyme MCT1 <17>) <17>
2.3.1.4,11.7,19, 11.7 <3>
2.3.1.4,12.21,19, 12.21 <2>
2.3.1.4,0.0054,19, 0.0054 <1>
2.3.1.4,2.41,19, 2.41 <4>
2.3.1.4,107,19, 107.0 <17>
2.3.1.42,0.00042,19, CHO-K1 wild-type cell <29>) <29>
2.3.1.42,0.00245,19, CHO-NRe1-4 cell overexpressing the human enzyme
2.3.1.42,0.00245,19, CHO-NRe1-4 cell overexpressing the human enzyme
2.3.1.42,0.00004,19, CHO-NRe1-4 cell expressing the human enzyme <29>)
2.3.1.42,0.00004,19, CHO-NRe1-4 cell expressing the human enzyme <29>)
2.3.1.42,0.106,19, 0.106 <10>
2.3.1.42,3.35,19, purified enzyme <13>) <13>
2.3.1.42,2.47,19, purified enzyme <14>) <14>
2.3.1.42,0.212,19, 0.212 <10>
2.3.1.42,0.00061,19, purified enzyme <24>) <24>
2.3.1.42,0.000091,19, 9.1e-05 <23>
2.3.1.42,0.00012,19, 0.00012 <1>
2.3.1.42,0.0056,19, 0.0056 <19>
2.3.1.42,0.861,19," pH 7.4, partially purified enzyme <21>) <21>"
2.3.1.43,137,19, in cholesterol-lecithin vesicles <2>) <2>
2.3.1.43,0.217,19," purified recombinant enzyme, pH 7.4, 37°C, substrates"
2.3.1.43,0.867,19," purified recombinant enzyme, pH 7.4, 37°C, substrates"
2.3.1.43,0.08,19, 0.08 <28>
2.3.1.43,2.7,19, in cholesterol-lecithin vesicles <3>) <3>
2.3.1.43,0.06,19, 0.06 <27>
2.3.1.43,0.01,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,0.42,19," purified recombinant enzyme, substrate sitosterol <60>)"
2.3.1.43,0.43,19," recombinant C-terminal histidine tagged enzyme, similar"
2.3.1.43,0.54,19, at 37°C and pH: 7.4 <6>) <6>
2.3.1.43,0.001,19, recombinant enzyme <50>) <50>
2.3.1.43,0.34,19, at 37°C in cholesterol-lecithin vesicles <15>) <15>
2.3.1.43,0.27,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,53,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,3.47,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,0.402,19," purified recombinant enzyme, substrate cholesterol <60>)"
2.3.1.43,0.57,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,0.57,19, in cholesterol-lecithin vesicles activated with
2.3.1.43,0.56,19, in cholesterol-lecithin vesicles activated with human
2.3.1.45,0.0004,19," purified recombinant enzyme, substrate monosialylated"
2.3.1.45,0.0172,19," purified recombinant enzyme, substrate trisialylated"
2.3.1.45,0.0778,19," purified recombinant enzyme, substrate disialylated"
2.3.1.46,500,19," wild-type histidine-tagged, 50 mM potassium-phosphate"
2.3.1.47,0.071,19," L-alanine, pimeloyl-CoA, pH 6.0, 60°C <19>) <19>"
2.3.1.47,0.09,19, purified recombinant enzyme <16>) <16>
2.3.1.47,0.67,19, 0.67 <3>
2.3.1.47,0.00225,19, partially purified enzyme <6>) <6>
2.3.1.49,17.4,19, 17.4 <1>
2.3.1.50,0.000044,19," HEK cells transfected with mLCB2, crude extract"
2.3.1.50,0.7,19, purified enzyme <17>) <17>
2.3.1.51,0.0051,19, 0.0051 <16>
2.3.1.51,0.0066,19, 0.0066 <15>
2.3.1.51,0.0000192,19, mitochondria <4>) <4>
2.3.1.51,0.0002742,19, outer mitochondrial membrane <4>) <4>
2.3.1.51,0.0000108,19, inner mitochondrial membrane <4>) <4>
2.3.1.51,0.44,19, 0.44 <9>
2.3.1.52,0.073,19, partially purified <4>) <4>
2.3.1.53,75,19, L-phenylalanine <1>) <1>
2.3.1.56,0.785,19, purified enzyme <2>) <2>
2.3.1.56,0.097,19," recombinant enzyme, N-acetylation of 4-aminoazobenzene"
2.3.1.56,0.025,19," recombinant enzyme, N-acetylation of 4-aminoazobenzene"
2.3.1.56,0.084,19," recombinant enzyme, N-acetylation of 4-aminoazobenzene"
2.3.1.56,0.036,19," recombinant enzyme, N-acetylation of 4-aminoazobenzene"
2.3.1.57,26,19, purified recombinant wild-type enzyme <19>) <19>
2.3.1.57,0.0006,19, 0.0006 <5>
2.3.1.57,0.001,19," recombinant HEK-293 cells expressing isozyme SSAT-1,"
2.3.1.57,0.0004,19," recombinant HEK-293 cells expressing isozyme SSAT-1,"
2.3.1.57,0.0002,19," recombinant HEK-293 cells expressing isozyme SSAT-1,"
